lon,lat,diameter_km
137.2779,-44.7934,95.076
-23.6000,69.0138,94.910
-20.0583,9.5912,94.811
-136.6614,-30.8347,94.805
43.1833,-72.9167,94.740
79.9139,5.2305,94.607
96.9501,21.0429,94.577
-179.6382,31.9178,94.562
-78.5849,51.3576,94.494
131.0064,9.6469,94.482
26.3990,-67.4419,94.402
79.7208,-12.9366,94.297
119.6421,29.5536,94.194
-168.4675,32.4102,94.114
-27.8777,74.0740,94.111
-138.3725,16.3410,93.923
170.0710,76.6870,93.862
-147.1621,-42.5552,93.791
179.3439,-5.8202,93.749
167.1415,72.6415,93.735
16.6002,-23.7844,93.623
108.0211,-37.4295,93.592
113.1296,-10.7437,93.459
122.3030,-50.1978,93.438
12.0736,85.4039,93.391
107.3738,6.8415,93.320
-83.9662,14.0107,93.108
-162.9242,31.1058,93.003
129.1966,-6.3031,92.964
-108.8937,25.8722,92.918
159.2392,-15.7891,92.908
172.5000,32.6032,92.906
89.1768,15.1260,92.540
-150.8987,44.1708,92.460
-176.8457,-17.0687,92.442
162.7383,-0.1596,92.419
-132.6328,61.8823,92.251
-154.7564,17.8466,91.948
-147.1624,2.6902,91.920
-179.8700,-63.4918,91.871
-65.3546,-24.7101,91.845
98.3095,27.4033,91.662
65.9768,-58.7953,91.646
37.5851,74.5702,91.609
137.1821,-25.9026,91.529
79.6385,-19.5902,91.242
128.8985,-9.9322,91.188
-33.1363,71.2707,91.128
-157.1535,75.9226,91.041
-76.4747,43.5696,90.950
130.5000,23.2021,90.905
152.6259,-38.9637,90.899
-128.7937,-35.8700,90.810
35.7862,66.8775,90.720
164.0032,10.1833,90.641
-169.5067,-53.9012,90.480
129.6536,13.8965,90.443
58.4170,45.4744,90.077
24.5403,-28.4318,90.003
-90.1000,20.9018,89.906
-127.8069,-44.2602,89.793
-66.7261,-16.9673,89.789
-124.8279,-57.8258,89.630
-73.8431,-58.6325,89.613
-18.2006,-49.9005,89.547
-16.9135,-6.0912,89.491
113.0781,9.7837,89.471
-125.9423,59.3840,89.466
101.1777,48.6053,89.375
-90.6284,8.8969,89.197
-114.9028,54.4643,89.169
81.0578,-14.2310,89.108
7.4982,71.3575,89.085
-139.3898,82.0277,88.906
142.0919,-65.0377,88.899
165.8195,13.0691,88.868
-96.9788,28.4566,88.608
126.9309,51.7380,88.405
174.1705,-54.4454,88.212
-113.9208,45.1894,87.914
-130.3789,71.8079,87.912
-105.2000,21.8018,87.902
73.5968,31.1205,87.896
159.1459,-50.9693,87.889
-10.2244,-66.9863,87.876
-131.3149,-71.0332,87.722
118.2761,-33.6199,87.690
172.2827,61.6804,87.625
126.0389,-33.8023,87.592
86.7911,22.3262,87.404
-93.2286,18.1038,87.385
13.3746,-34.4079,87.344
64.6326,-14.6493,87.259
127.0213,-36.6198,87.209
38.7340,-53.4751,87.197
44.3273,46.7071,87.148
-119.6280,25.7472,87.120
-142.4036,-26.4752,86.871
114.7631,-17.4432,86.836
-118.1030,-11.7769,86.796
-130.4843,-27.7792,86.792
-56.5232,-29.2630,86.785
109.7978,64.9690,86.765
-174.8537,-37.7712,86.747
-119.7740,-45.9299,86.297
-92.9261,6.8181,86.265
-90.6043,7.1251,86.248
-127.8908,42.1406,86.149
128.7328,-0.4759,86.139
-166.0933,16.7094,86.037
-179.4581,-2.0982,86.034
-105.2757,25.1415,85.922
-129.2000,-14.4011,85.901
-123.5388,-22.9927,85.872
-96.5211,21.9229,85.864
84.2892,64.4935,85.857
-50.3141,65.5954,85.827
-137.1930,26.5576,85.816
-49.3178,-21.4374,85.809
43.4724,-40.3796,85.622
151.5416,10.1377,85.565
24.5263,-76.6608,85.564
-83.4496,-5.9146,85.546
103.6234,-33.2840,85.354
162.4705,-64.9242,85.345
-55.9308,-42.5896,85.344
-89.2134,41.2104,85.278
83.4876,-32.2733,85.255
122.2534,6.7658,85.151
109.1783,-27.2108,85.038
-56.6085,-34.7696,84.931
81.4920,-40.0910,84.700
-90.8607,67.2109,84.697
32.1532,-29.7288,84.488
137.0228,43.3795,84.485
-97.6740,5.6178,84.422
-173.7674,70.6457,84.405
141.4463,-59.6756,84.258
72.3011,-29.7585,84.230
-134.0026,-22.7259,84.137
-45.2539,-85.5379,84.137
93.2471,-2.6776,84.087
127.5994,-45.4706,84.063
-163.5050,-63.0892,84.056
-60.4978,-49.4887,84.047
-159.9951,46.9705,84.021
-153.5588,50.2623,83.988
-17.0200,-76.5931,83.963
-87.6348,4.2811,83.799
-73.7935,-19.4681,83.753
18.8867,70.4153,83.696
62.7304,-29.5369,83.519
132.4714,-42.8719,83.497
-169.3820,-14.6099,83.468
152.1861,24.6817,83.457
-26.6670,78.4810,83.323
-80.3813,-6.2552,83.293
-170.0157,-23.0602,83.205
106.0714,-39.1709,83.177
-144.3353,2.2580,83.170
-141.9649,42.2655,83.121
46.0978,-15.1661,83.106
110.2252,-7.6975,83.009
170.2918,57.2427,82.984
-96.8908,60.2616,82.955
170.9134,24.9215,82.914
43.0920,-55.5410,82.853
117.4805,-7.5290,82.830
17.2982,50.3097,82.778
56.5804,34.4550,82.732
-168.6859,-40.8135,82.705
170.1969,42.8595,82.549
147.3651,-25.3439,82.466
126.6322,46.4295,82.339
104.5438,13.3731,82.339
-135.2719,-48.0921,82.186
-22.4726,-44.5169,82.133
96.0870,12.7711,82.093
137.5989,63.7089,82.049
-65.6462,-19.6079,81.979
-4.0000,29.7022,81.898
-151.9997,33.9635,81.853
-95.3550,4.1774,81.783
91.8493,-74.2200,81.675
-11.2856,-43.2703,81.573
-147.1945,-26.5501,81.553
169.2649,-42.7110,81.542
163.4316,-22.9166,81.535
127.2523,61.0022,81.526
55.7476,-29.3702,81.506
101.3064,-46.3193,81.440
26.6298,-37.0094,81.409
76.2563,-10.6463,81.378
140.6881,-6.8480,81.179
-103.5327,42.3227,81.162
-115.0674,10.7841,81.054
-121.7809,43.6262,81.010
-60.6896,68.0135,80.946
-126.1405,-31.5648,80.937
-167.2960,7.6032,80.914
137.2246,-11.5810,80.884
6.2645,-49.3206,80.865
23.4716,-34.7829,80.856
92.4802,18.0237,80.838
128.2243,-25.7094,80.802
-72.8045,-12.9017,80.782
138.4005,58.6893,80.626
-140.5943,-16.2697,80.613
-119.9312,71.8181,80.584
24.1710,72.1498,80.581
173.9755,-30.1613,80.512
171.6806,43.7278,80.229
-143.3226,70.9644,80.194
117.8421,20.6146,80.181
16.7181,-45.0964,80.162
-87.3154,8.8927,80.137
70.8560,-71.2609,80.090
179.9672,-17.1611,79.919
127.6589,9.1171,79.904
-84.6000,49.6044,79.893
-140.1402,-14.1615,79.719
30.6391,-50.6282,79.699
-127.2974,68.3346,79.644
-56.6763,-50.5919,79.609
156.2997,-68.1814,79.513
76.1339,-43.7665,79.481
114.9522,-25.0915,79.469
155.1240,-1.9717,79.433
-170.3470,-61.3013,79.396
-141.6537,47.3799,79.139
91.4279,-55.5937,79.138
157.3943,-20.3255,79.088
111.2206,-79.4835,79.014
9.6962,-50.2234,78.972
-92.7486,47.0131,78.962
-35.1060,38.8095,78.957
29.8530,61.0762,78.866
69.9810,-28.8685,78.849
125.2800,-11.1639,78.719
173.0517,12.2766,78.715
24.5281,88.6608,78.592
-150.7006,61.7062,78.535
46.5117,-59.8876,78.493
122.3791,-6.9496,78.474
78.1032,49.9909,78.409
103.3005,11.1160,78.403
152.9076,40.3053,78.388
84.2773,-18.4016,78.224
-123.8945,-17.1606,78.177
5.0770,-30.7046,77.941
-131.8456,-68.0774,77.886
110.0463,-4.9956,77.700
-176.5871,54.5504,77.651
53.0147,-85.3287,77.594
69.6269,12.1075,77.543
39.1116,-39.1149,77.307
167.1277,29.3718,77.291
-93.5735,16.3070,77.249
136.0866,-48.5858,77.025
31.0636,-34.5739,77.011
-146.0738,36.2851,76.996
-175.2973,21.8759,76.950
147.8622,-29.0926,76.931
-177.9496,-48.6039,76.888
139.3000,-13.9009,76.888
120.4802,4.9152,76.822
-73.6853,70.2367,76.671
143.5502,-8.3853,76.628
-148.7183,72.9729,76.596
151.8844,-13.3002,76.592
156.9030,-47.0416,76.554
171.7268,0.5748,76.465
-157.3724,9.2180,76.428
118.6545,38.0154,76.324
-138.0602,21.8025,76.314
39.2956,-58.5747,76.294
41.7893,-42.8034,76.155
-45.1215,72.5492,76.061
134.3889,-4.6569,76.040
160.3040,49.4362,76.016
177.3270,-24.8421,75.701
126.5771,49.9326,75.681
18.0519,-33.1779,75.634
63.2747,-45.3707,75.601
89.5342,8.6448,75.574
29.9668,-63.6716,75.499
65.3526,-80.1095,75.416
154.8652,42.1250,75.382
82.9066,-54.2172,75.345
102.8368,4.5003,75.329
-39.6531,-29.7212,75.323
-20.5813,-45.8411,75.195
-103.6666,46.8067,75.024
-118.8997,37.4603,75.009
51.6133,-55.0908,74.988
-141.6862,36.8947,74.981
147.9273,39.1298,74.933
-172.8168,51.6011,74.729
53.8940,-70.0347,74.707
-116.7966,19.4458,74.701
-143.7736,25.7903,74.662
67.9941,74.3430,74.652
39.6284,-64.1677,74.591
99.3375,16.9897,74.526
-142.7264,0.3020,74.481
106.7175,-59.0857,74.413
-112.9643,-19.7955,74.397
13.2485,-43.6964,74.235
-100.5847,9.0270,74.031
-178.0705,-43.5638,74.021
51.0336,-41.5410,73.994
69.9000,33.5021,73.884
-75.9000,7.4004,73.884
113.0308,-2.8759,73.852
37.1298,81.0647,73.823
-155.1174,53.1190,73.679
58.2209,-31.9349,73.667
6.5340,-47.2496,73.641
54.1776,-32.4714,73.593
-133.8924,-18.0774,73.567
-9.3888,-39.2343,73.524
-5.6604,-23.8731,73.508
-108.5497,0.1688,73.228
110.9001,24.4272,73.185
95.9677,-41.9854,73.061
-158.5537,35.5358,73.053
155.8370,51.0688,73.048
-44.9561,-63.3825,73.048
-155.0027,-21.0643,72.993
-161.7087,24.6632,72.985
-154.9295,-24.6773,72.981
173.8798,-52.1409,72.981
70.4613,68.9366,72.937
-112.5725,21.9650,72.920
145.1000,-9.5043,72.896
149.5568,-8.6842,72.848
-172.9291,-21.1782,72.712
-152.1939,12.7844,72.651
-122.0352,21.6825,72.631
155.5826,-31.8785,72.552
-102.9486,48.8680,72.475
112.4295,-59.4736,72.443
164.7057,-5.6266,72.347
15.2211,9.0971,72.245
-158.0121,-14.9851,72.166
115.2783,85.8804,72.074
-174.9350,-33.9936,72.049
41.2075,-8.6681,71.982
141.2481,-16.9924,71.922
87.4364,-81.8128,71.920
-179.8609,-13.4999,71.902
-137.0060,42.6339,71.822
103.3232,-15.9764,71.821
-155.1533,48.6229,71.799
164.9074,-41.6382,71.798
-177.7309,-42.2564,71.738
109.3926,28.2772,71.623
-137.4493,-67.4753,71.508
-45.5484,-67.0302,71.499
47.1230,-37.0959,71.410
123.9492,-11.4366,71.391
-165.1178,30.8570,71.372
-175.1636,-25.8156,71.183
-15.9291,-33.7434,71.174
-126.3974,66.7390,71.107
-100.5789,50.1310,71.087
-163.3255,22.0630,70.969
135.7022,-29.2998,70.905
141.5500,-43.5970,70.884
160.8609,-5.7054,70.870
-64.1521,57.1041,70.854
178.9507,-86.4203,70.756
168.4152,-61.2287,70.727
92.3482,-35.8234,70.727
15.0075,-72.5922,70.707
117.4369,-41.0163,70.679
97.1413,10.3840,70.614
89.2983,26.4519,70.580
161.9935,58.2457,70.555
-97.2946,39.6853,70.506
2.7806,-18.7434,70.409
142.6660,-48.6351,70.280
-39.0282,76.9437,70.245
-159.5431,35.2940,70.206
-133.9570,34.3397,70.192
107.6881,-34.4713,70.110
111.9961,-49.8849,70.053
5.3531,-60.9020,69.959
-74.8944,77.5449,69.956
175.5034,3.5097,69.941
-114.7845,39.0569,69.902
-100.8725,23.3709,69.888
54.0770,-45.6580,69.885
3.3000,-28.0015,69.880
140.7184,-4.2240,69.871
3.2041,-14.6322,69.780
-93.7634,83.5827,69.772
-32.7070,72.2406,69.768
162.4187,-38.6362,69.647
-117.9558,23.6453,69.627
-99.5255,-65.4764,69.617
-84.2121,-0.8646,69.578
167.7087,-24.7029,69.572
-86.6548,12.7746,69.558
100.6159,-26.7331,69.481
99.0255,21.0177,69.413
124.9700,-2.5050,69.335
78.9979,24.1597,69.187
135.0615,-55.7916,69.183
-121.0546,49.0458,69.055
-51.5678,67.0165,68.930
34.0270,78.8284,68.888
-127.4968,27.4521,68.886
-77.4000,-40.6024,68.876
3.8000,-34.8019,68.876
-83.3211,19.2372,68.848
177.3623,-3.2985,68.818
21.9426,-31.9893,68.665
-177.5021,30.0636,68.609
154.6829,7.5863,68.571
125.9453,0.2503,68.528
-156.6593,68.3537,68.458
96.4274,3.0837,68.457
21.9786,-26.7377,68.408
-48.6878,-59.0026,68.380
163.9679,-74.8449,68.366
159.8347,59.1697,68.222
-175.8034,46.9430,68.220
174.6285,45.5096,68.177
-81.2307,38.1371,68.174
-108.5823,-67.8631,68.124
-13.7701,10.4579,68.120
-108.5662,-68.9556,68.112
84.0722,-6.4204,68.061
-106.1817,32.0140,67.985
170.4306,41.5449,67.967
-56.6831,-8.1980,67.964
11.3739,-56.8165,67.912
